sku_id,product_name,description,category,subcategory,weight_lbs,length_inches,width_inches,height_inches,unit_of_measure,units_per_case,primary_supplier_id,manufacturer,manufacturer_part_number,upc_code
HAR-0054,Drawer Slide 18in,High-quality drawer slide 18in for professional and DIY projects.,hardware,,20.6,23.8,23.4,11.0,each,,VENDOR-003,,MFG-50135,621275973591
HAR-0055,Shelf Bracket Heavy,High-quality shelf bracket heavy for professional and DIY projects.,hardware,,27.9,95.7,26.9,,each,,VENDOR-003,,,
HAR-0056,Anchor Bolt Set,High-quality anchor bolt set for professional and DIY projects.,hardware,,6.4,73.4,9.7,,each,,VENDOR-005,AnchorCo Inc,MFG-47093,314029509095
HAR-0057,Wood Screw Box 100ct,High-quality wood screw box 100ct for professional and DIY projects.,hardware,,15.2,29.7,34.3,,each,,VENDOR-001,WoodCo Inc,MFG-26551,640104129762
HAR-0058,Concrete Anchor Pack,High-quality concrete anchor pack for professional and DIY projects.,hardware,,5.6,,,,each,,VENDOR-003,,,226605882836
HAR-0059,Door Closer Commercial,High-quality door closer commercial for professional and DIY projects.,hardware,,41.2,8.0,30.6,,each,,VENDOR-005,DoorCo Inc,,
HAR-0060,Weather Stripping Kit,High-quality weather stripping kit for professional and DIY projects.,hardware,,28.1,57.6,30.1,9.4,each,12,VENDOR-005,WeatherCo Inc,,210552841781
LUM-0061,2x4 Stud 8ft,High-quality 2x4 stud 8ft for professional and DIY projects.,lumber,,47.4,,,,each,6,VENDOR-002,,,
LUM-0062,2x6 SPF 12ft,High-quality 2x6 spf 12ft for professional and DIY projects.,lumber,,22.8,28.7,11.9,17.0,each,,VENDOR-002,2x6Co Inc,MFG-91927,564706095026
LUM-0063,4x4 Post Treated,High-quality 4x4 post treated for professional and DIY projects.,lumber,,6.2,,,,each,,VENDOR-002,,,
LUM-0064,Deck Board 5/4x6 16ft,High-quality deck board 5/4x6 16ft for professional and DIY projects.,lumber,,37.6,28.4,6.8,16.9,each,24,VENDOR-004,,,
LUM-0065,Furring Strip 1x2,High-quality furring strip 1x2 for professional and DIY projects.,lumber,,16.5,,,,each,1,VENDOR-003,FurringCo Inc,MFG-32962,
LUM-0066,Cedar Board 1x6,High-quality cedar board 1x6 for professional and DIY projects.,lumber,,32.7,18.2,28.5,12.1,each,,VENDOR-003,CedarCo Inc,,
LUM-0067,Trim Board Primed 1x4,High-quality trim board primed 1x4 for professional and DIY projects.,lumber,,8.5,48.1,32.1,,each,1,VENDOR-004,,,
LUM-0068,LVL Beam 1-3/4x9-1/2,High-quality lvl beam 1-3/4x9-1/2 for professional and DIY projects.,lumber,,38.7,79.4,1.1,11.4,each,,VENDOR-005,LVLCo Inc,MFG-91973,
LUM-0069,Fence Picket 1x6,High-quality fence picket 1x6 for professional and DIY projects.,lumber,,3.1,,,,each,,VENDOR-004,,MFG-89806,274847185866
LUM-0070,Plywood Baltic Birch,High-quality plywood baltic birch for professional and DIY projects.,lumber,,15.9,,,,each,,VENDOR-001,PlywoodCo Inc,,420905367754
PAI-0071,Interior Paint Gallon,High-quality interior paint gallon for professional and DIY projects.,paint,,25.7,,,23.5,each,,VENDOR-005,,,400947542743
PAI-0072,Exterior Paint Gallon,High-quality exterior paint gallon for professional and DIY projects.,paint,,38.7,33.3,38.0,,each,,VENDOR-003,ExteriorCo Inc,MFG-96499,
PAI-0073,Primer Gallon,High-quality primer gallon for professional and DIY projects.,paint,,7.9,33.8,26.9,11.2,each,,VENDOR-002,PrimerCo Inc,,
PAI-0074,Stain Penetrating Qt,High-quality stain penetrating qt for professional and DIY projects.,paint,,42.9,31.2,23.2,9.5,each,6,VENDOR-004,StainCo Inc,,584665753840
PAI-0075,Paint Brush 3in Pro,High-quality paint brush 3in pro for professional and DIY projects.,paint,,5.4,2.5,7.8,23.3,each,,VENDOR-003,PaintCo Inc,MFG-95175,
PAI-0076,Roller Cover 9in,High-quality roller cover 9in for professional and DIY projects.,paint,,16.8,51.7,45.8,21.4,each,,VENDOR-005,,,417487972975
PAI-0077,Painter Tape 2in,High-quality painter tape 2in for professional and DIY projects.,paint,,49.9,42.2,5.6,21.0,each,,VENDOR-003,PainterCo Inc,,492102028955
PAI-0078,Drop Cloth 9x12,High-quality drop cloth 9x12 for professional and DIY projects.,paint,,19.1,,,13.8,each,6,VENDOR-002,,MFG-91226,257123463473
PAI-0079,Caulk Tube Silicone,High-quality caulk tube silicone for professional and DIY projects.,paint,,12.0,44.7,32.3,11.4,each,,VENDOR-005,,MFG-55293,801364526954
PAI-0080,Spray Paint Can,High-quality spray paint can for professional and DIY projects.,paint,,48.1,44.4,15.2,20.6,each,,VENDOR-004,SprayCo Inc,MFG-48696,
TOO-0081,Cordless Drill 20V,High-quality cordless drill 20v for professional and DIY projects.,tools,,41.6,1.8,41.7,23.4,each,24,VENDOR-003,CordlessCo Inc,,796725319270
TOO-0082,Circular Saw 7-1/4in,High-quality circular saw 7-1/4in for professional and DIY projects.,tools,,9.9,,,18.5,each,6,VENDOR-001,CircularCo Inc,MFG-50492,735798459372
TOO-0083,Hammer 16oz Fiberglass,High-quality hammer 16oz fiberglass for professional and DIY projects.,tools,,18.6,,,8.2,each,,VENDOR-002,,MFG-57953,400276140106
TOO-0084,Tape Measure 25ft,High-quality tape measure 25ft for professional and DIY projects.,tools,,41.6,,,11.8,each,12,VENDOR-001,TapeCo Inc,,897473738038
TOO-0085,Level 48in,High-quality level 48in for professional and DIY projects.,tools,,33.9,81.3,27.2,,each,,VENDOR-003,LevelCo Inc,MFG-98188,741076101791
TOO-0086,Screwdriver Set 10pc,High-quality screwdriver set 10pc for professional and DIY projects.,tools,,19.4,36.3,32.7,,each,12,VENDOR-005,,,872704936140
TOO-0087,Pliers Set 3pc,High-quality pliers set 3pc for professional and DIY projects.,tools,,15.5,14.3,45.5,,each,,VENDOR-001,,MFG-60940,
TOO-0088,Socket Set 40pc,High-quality socket set 40pc for professional and DIY projects.,tools,,33.7,90.9,20.7,4.1,each,,VENDOR-001,SocketCo Inc,MFG-46666,
TOO-0089,Safety Glasses,High-quality safety glasses for professional and DIY projects.,tools,,18.8,91.3,41.2,,each,12,VENDOR-001,SafetyCo Inc,,
TOO-0090,Work Gloves Pair,High-quality work gloves pair for professional and DIY projects.,tools,,42.5,64.0,31.2,1.0,each,6,VENDOR-002,WorkCo Inc,,330013571010
